Meldung;Kundenauftrag;Kunde;Bezugsmenge;Bezeichnung;Anzahl Angebote;Angebotserfolg;Umsatzanteil_Kunde;PRICE_DEV_QU;PRIMARY_PRODUCT_SALES;KNA1.Land;KNA1.Ist-Konzern;KNA1.KEY_ACCOUNT;KNA1.Umsatzanteil_Land;EQUI.Kundenbranche;Land_Neu
1;1;1;1;Other;2;Success;0,000935757;1;1;SG;0;0;0,000935757;Oilseed;Other
2;;1;1;Other;1;Failure;0,000935757;1;1;SG;0;0;0,000935757;Oilseed;Other
3;;1;3;Other;1;Failure;0,000935757;1;1;SG;0;0;0,000935757;Oilseed;Other
4;2;1;300;SP;2;Success;0,000935757;0,807620664;0,774911362;SG;0;0;0,000935757;Oilseed;Other
5;;1;2;SP;1;Failure;0,000935757;1,012025831;1;SG;0;0;0,000935757;Oilseed;Other
6;;2;1;Other;2;Failure;0,002652777;1,055401017;0,337007449;SE;1;0;0,005747758;Oilseed;Other
7;;3;1;SP;1;Success;0,012672497;0,888173321;0,807748959;DE;1;1;0,24288004;Oilseed;DE
8;;3;4;SP;1;Failure;0,012672497;0,902310637;0,414882478;DE;1;1;0,24288004;Oilseed;DE
9;3;3;0;SP;1;Success;0,012672497;1,584811154;1;DE;1;1;0,24288004;Oilseed;DE
10;4;4;1;Other;1;Success;0,000206443;0,922368507;1;DE;1;1;0,24288004;Oilseed;DE
11;;3;1;SP;1;Success;0,012672497;1,10561559;1;DE;1;1;0,24288004;Oilseed;DE
12;;3;1;SP;1;Success;0,012672497;0,916362463;0,67344227;DE;1;1;0,24288004;Oilseed;DE
13;;3;1;SP;1;Success;0,012672497;0,927473678;1;DE;1;1;0,24288004;Oilseed;DE
14;;3;4;SP;1;Success;0,012672497;1,20166519;1;DE;1;1;0,24288004;Oilseed;DE
15;;3;1;SP;1;Failure;0,012672497;0,939645495;0,506866796;DE;1;1;0,24288004;Oilseed;DE
16;;3;2;SP;1;Success;0,012672497;0,787068685;1;DE;1;1;0,24288004;Oilseed;DE
17;;3;1;SP;1;Success;0,012672497;1,71133736;1;DE;1;1;0,24288004;Oilseed;DE
18;;3;2;SP;1;Failure;0,012672497;0,879512365;1;DE;1;1;0,24288004;Oilseed;DE
19;5;3;0;SP;1;Success;0,012672497;1,06548629;0,657740879;DE;1;1;0,24288004;Oilseed;DE
20;6;3;0;SP;1;Success;0,012672497;1,082477787;0,899730081;DE;1;1;0,24288004;Oilseed;DE
21;;3;2;SP;1;Failure;0,012672497;1,278300244;0,722938144;DE;1;1;0,24288004;Oilseed;DE
22;7;3;0;SP;1;Success;0,012672497;1,340349057;1;DE;1;1;0,24288004;Oilseed;DE
23;;3;1;SP;1;Failure;0,012672497;1,04520752;1;DE;1;1;0,24288004;Oilseed;DE
24;;3;2;SP;2;Success;0,012672497;1,026612118;0,58296819;DE;1;1;0,24288004;Oilseed;DE
25;8;3;12;SP;2;Success;0,012672497;0,859916207;1;DE;1;1;0,24288004;Oilseed;DE
26;9;3;3;SP;1;Success;0,012672497;1,305199171;0,898520725;DE;1;1;0,24288004;Oilseed;DE
27;;3;40;SP;1;Failure;0,012672497;1,109024351;1;DE;1;1;0,24288004;Oilseed;DE
28;;3;30;SP;1;Failure;0,012672497;1,087170334;1;DE;1;1;0,24288004;Oilseed;DE
29;;3;1;SP;1;Failure;0,012672497;1,35284066;1;DE;1;1;0,24288004;Oilseed;DE
30;10;3;18;SP;2;Success;0,012672497;1,004689756;1;DE;1;1;0,24288004;Oilseed;DE
31;11;5;0;Other;1;Success;0,009883245;1;1;HR;0;0;0,014651249;Rendering;Other
32;;6;1;Other;1;Failure;0,015086146;1;1;AE;1;0;0,018512827;Oilseed;Other
33;;7;1;Other;1;Failure;0;1;1;AE;0;0;0,018512827;Oilseed;Other
34;;7;4;Other;1;Failure;0;1;1;AE;0;0;0,018512827;Oilseed;Other
35;;3;475;SP;1;Success;0,012672497;0,873217854;0,819229784;DE;1;1;0,24288004;Oilseed;DE
36;12;8;2;SP;2;Success;0,002214796;0,992271749;0,350852635;RO;1;1;0,008949443;Oilseed;Other
37;13;8;1;SP;1;Success;0,002214796;0,933043395;1;RO;1;1;0,008949443;Oilseed;Other
38;14;9;0;Other;1;Success;0,019405607;1;1;FR;1;0;0,149340658;Rendering;FR
39;;9;1;Other;1;Failure;0,019405607;1,044186704;0,393785728;FR;1;0;0,149340658;Rendering;FR
40;;9;1;Other;1;Failure;0,019405607;1;1;FR;1;0;0,149340658;Rendering;FR
41;;9;1;Other;1;Failure;0,019405607;1;1;FR;1;0;0,149340658;Rendering;FR
42;;9;1;Other;1;Failure;0,019405607;1,144853023;0,75161987;FR;1;0;0,149340658;Rendering;FR
43;15;9;0;Other;1;Success;0,019405607;1;1;FR;1;0;0,149340658;Rendering;FR
44;;9;1;Other;1;Failure;0,019405607;1,009850017;0,466599361;FR;1;0;0,149340658;Rendering;FR
45;16;9;1;Other;1;Success;0,019405607;0,547306887;0,5;FR;1;0;0,149340658;Rendering;FR
46;17;9;1;Other;2;Success;0,019405607;1,302415137;0,798740205;FR;1;0;0,149340658;Rendering;FR
47;;9;1;Other;1;Failure;0,019405607;1,03357605;1;FR;1;0;0,149340658;Rendering;FR
48;;9;1;Other;1;Failure;0,019405607;1,01910995;1;FR;1;0;0,149340658;Rendering;FR
49;18;9;1;Other;2;Success;0,019405607;1,172163813;0,683699539;FR;1;0;0,149340658;Rendering;FR
50;;9;1;Other;1;Failure;0,019405607;1,014232231;0,707971295;FR;1;0;0,149340658;Rendering;FR
51;19;9;0;Other;1;Success;0,019405607;1,01174917;1;FR;1;0;0,149340658;Rendering;FR
52;20;9;1;Other;1;Success;0,019405607;1,011045576;0,970353537;FR;1;0;0,149340658;Rendering;FR
53;;9;1;Other;2;Failure;0,019405607;1,591087243;0,569014576;FR;1;0;0,149340658;Rendering;FR
54;21;9;0;Other;1;Success;0,019405607;1,026692126;0,955968597;FR;1;0;0,149340658;Rendering;FR
55;22;9;0;Other;1;Success;0,019405607;1,012086864;0,974831072;FR;1;0;0,149340658;Rendering;FR
56;23;9;0;Other;1;Success;0,019405607;1,013986681;0,976927533;FR;1;0;0,149340658;Rendering;FR
57;;9;1;Other;2;Failure;0,019405607;1,68074461;0,615169843;FR;1;0;0,149340658;Rendering;FR
58;24;10;500;Other;3;Success;0,002387364;0,985782676;0,59128455;PL;1;1;0,09008607;Oilseed;PL
59;;10;1;SP;1;Failure;0,002387364;0,987446524;1;PL;1;1;0,09008607;Oilseed;PL
60;25;10;0;SP;1;Success;0,002387364;0,855487799;1;PL;1;1;0,09008607;Oilseed;PL
61;26;10;20;SP;2;Success;0,002387364;0,835871204;0,894881;PL;1;1;0,09008607;Oilseed;PL
62;;10;1006;SP;1;Failure;0,002387364;0,888495095;0,844069539;PL;1;1;0,09008607;Oilseed;PL
63;27;10;0;SP;1;Success;0,002387364;0,758200315;1;PL;1;1;0,09008607;Oilseed;PL
64;;10;1;SP;1;Success;0,002387364;0,959794577;0,513464703;PL;1;1;0,09008607;Oilseed;PL
65;;11;4;Other;1;Success;7,15E-05;0,982426779;0,712121212;FR;0;0;0,149340658;Rendering;FR
66;;11;12;Other;1;Failure;7,15E-05;0,911672441;0,928784996;FR;0;0;0,149340658;Rendering;FR
67;;11;4;Other;1;Failure;7,15E-05;0,837621419;1;FR;0;0;0,149340658;Rendering;FR
68;;12;1;SP;1;Success;0,021882417;0,933062332;0,325871309;DE;1;1;0,24288004;Oilseed;DE
69;;12;100;SP;1;Success;0,021882417;1,154939009;0,765623505;DE;1;1;0,24288004;Oilseed;DE
70;28;12;2;SP;1;Success;0,021882417;1,07474627;0,424825072;DE;1;1;0,24288004;Oilseed;DE
71;;13;1;Other;1;Failure;0,005186831;1;1;BA;0;0;0,005186831;Oilseed;Other
72;29;13;1;Other;1;Success;0,005186831;0,515352113;1;BA;0;0;0,005186831;Oilseed;Other
73;;13;1;Other;1;Failure;0,005186831;1;1;BA;0;0;0,005186831;Oilseed;Other
74;;12;1;SP;1;Success;0,021882417;0,925;1;DE;1;1;0,24288004;Oilseed;DE
75;;12;6;SP;2;Success;0,021882417;1,050597617;0,281189883;DE;1;1;0,24288004;Oilseed;DE
76;30;12;1;SP;1;Success;0,021882417;0,838077215;1;DE;1;1;0,24288004;Oilseed;DE
77;31;14;4;Other;1;Success;0,000440498;1,002703037;1;MK;0;0;0,000857283;Oilseed;Other
78;;14;1;Other;1;Success;0,000440498;1;1;MK;0;0;0,000857283;Oilseed;Other
79;;14;4;Other;1;Success;0,000440498;1,119431173;1;MK;0;0;0,000857283;Oilseed;Other
80;;12;6;Other;1;Success;0,021882417;0,831329586;1;DE;1;1;0,24288004;Oilseed;DE
81;;12;8;Other;1;Success;0,021882417;0,976644306;1;DE;1;1;0,24288004;Oilseed;DE
82;;12;1;Other;1;Success;0,021882417;0,989996922;1;DE;1;1;0,24288004;Oilseed;DE
83;;12;2;Other;1;Failure;0,021882417;0,999223361;1;DE;1;1;0,24288004;Oilseed;DE
84;;12;4;Other;1;Failure;0,021882417;0,881171478;1;DE;1;1;0,24288004;Oilseed;DE
85;32;12;0;Other;1;Success;0,021882417;1,48100209;1;DE;1;1;0,24288004;Oilseed;DE
86;33;15;4;Other;2;Success;0,008587915;1,000027189;0,917978541;DE;0;0;0,24288004;Oilseed;DE
87;34;15;6;Other;2;Success;0,008587915;1,013737839;1;DE;0;0;0,24288004;Oilseed;DE
88;35;15;1;Other;2;Success;0,008587915;0,9952714;1;DE;0;0;0,24288004;Oilseed;DE
89;;15;1;Other;1;Success;0,008587915;1,058363514;1;DE;0;0;0,24288004;Oilseed;DE
90;;12;4;SP;1;Success;0,021882417;1,064598074;0,614472462;DE;1;1;0,24288004;Oilseed;DE
91;;12;1;SP;1;Success;0,021882417;1,025558087;0,349746107;DE;1;1;0,24288004;Oilseed;DE
92;36;12;1;SP;2;Success;0,021882417;0,948935782;1;DE;1;1;0,24288004;Oilseed;DE
93;37;12;1;SP;2;Success;0,021882417;1,211146867;1;DE;1;1;0,24288004;Oilseed;DE
94;38;12;0;SP;1;Success;0,021882417;1,998446723;1;DE;1;1;0,24288004;Oilseed;DE
95;39;10;4;Other;1;Success;0;0,964396493;1;PL;1;1;0,09008607;Oilseed;PL
96;40;16;1;Other;2;Success;0,000114648;0,985789795;1;LB;0;0;0,000114648;Oilseed;Other
97;;17;2;Other;1;Failure;0,001380133;1,115697523;0,648063033;IT;1;1;0,021159902;Oilseed;Other
98;;17;2;Other;1;Failure;0,001380133;1,146277928;0,596284943;IT;1;1;0,021159902;Oilseed;Other
99;;17;2;Other;1;Success;0,001380133;0,894305661;0,819193062;IT;1;1;0,021159902;Oilseed;Other
100;;17;1;Other;1;Failure;0,001380133;1,003409024;0,306797433;IT;1;1;0,021159902;Oilseed;Other
101;;18;2;SP;1;Success;0,012238261;0,921675173;0,475017136;DE;1;1;0,24288004;Oilseed;DE
102;;18;1;SP;1;Failure;0,012238261;0,958958872;0,352670953;DE;1;1;0,24288004;Oilseed;DE
103;;10;1;Other;1;Failure;0,002387364;1,046112428;0,968009971;PL;1;1;0,09008607;Oilseed;PL
104;41;19;1;Other;2;Success;0,016754912;1,061643427;1;HU;1;1;0,049273194;Oilseed;Other
105;42;19;1;Other;1;Success;0,016754912;0,996157911;1;HU;1;1;0,049273194;Oilseed;Other
106;43;20;1;SP;2;Success;0,000662915;0,940568901;1;DE;1;1;0,24288004;Oilseed;DE
107;44;8;0;SP;3;Success;0,016754912;0,975738427;0,271389383;RO;1;1;0,008949443;Oilseed;Other
108;;8;1;SP;1;Failure;0,002214796;0,98160412;1;RO;1;1;0,008949443;Oilseed;Other
109;45;21;1;Other;2;Success;0,0089365;1,165156406;1;TR;1;1;0,014710869;Oilseed;Other
110;46;20;54;Other;1;Success;0,000662915;0,844531963;0,750732823;DE;1;1;0,24288004;Oilseed;DE
111;47;20;27;Other;1;Success;0,000662915;0,927727977;0,38766088;DE;1;1;0,24288004;Oilseed;DE
112;48;22;30;Other;2;Success;0,002630304;1,02963961;1;IE;0;0;0,00528089;Oilseed;Other
113;49;20;1;SV;1;Success;0,000662915;0,925841433;0,508474576;DE;1;1;0,24288004;Oilseed;DE
114;50;20;306;SV;1;Success;0,000662915;0,849250146;0,880568108;DE;1;1;0,24288004;Oilseed;DE
115;51;20;0;SV;1;Success;0,000662915;0,947465831;1;DE;1;1;0,24288004;Oilseed;DE
116;;23;4;Other;1;Failure;0,011855655;1;1;DE;1;1;0,24288004;Oilseed;DE
117;;20;1;Other;1;Failure;0,000662915;0,715843422;1;DE;1;1;0,24288004;Oilseed;DE
118;52;24;1;Other;1;Success;0,001380328;1,02564677;0,342905521;RO;0;0;0,008949443;Oilseed;Other
119;;24;1;Other;1;Failure;0,001380328;1,077443389;0,980951282;RO;0;0;0,008949443;Oilseed;Other
120;53;20;0;SV;1;Success;0,000662915;0,769848019;1;DE;1;1;0,24288004;Oilseed;DE
121;54;25;1;Other;2;Success;0,002652777;1,118118403;0,860315066;US;0;0;0,031120862;Oilseed;US
122;55;25;1;Other;1;Success;0,002652777;1;1;US;0;0;0,031120862;Oilseed;US
123;56;25;0;Other;1;Success;0,002652777;0,958629561;1;US;0;0;0,031120862;Oilseed;US
124;57;25;1;Other;1;Success;0,002652777;1,192244126;0,678092626;US;0;0;0,031120862;Oilseed;US
125;;25;1;Other;1;Failure;0,002652777;1;1;US;0;0;0,031120862;Oilseed;US
126;58;26;50;SP;1;Success;0,002074379;0,945995545;0,400096558;FR;1;0;0,149340658;Oilseed;FR
127;59;27;1;SP;2;Success;0,01795518;0,885435627;0,794184712;DE;1;1;0,24288004;Oilseed;DE
128;60;27;416;SP;2;Success;0,01795518;0,824549203;0,991790718;DE;1;1;0,24288004;Oilseed;DE
129;61;27;0;SP;1;Success;0,01795518;3,571720888;1;DE;1;1;0,24288004;Oilseed;DE
130;62;27;8;SP;1;Success;0,01795518;1,033194096;0,95890411;DE;1;1;0,24288004;Oilseed;DE
131;;28;1;Other;1;Failure;0,007770044;1;1;DE;1;0;0,24288004;Oilseed;DE
132;63;27;1;SP;2;Success;0,01795518;0,829663742;0,780007168;DE;1;1;0,24288004;Oilseed;DE
133;64;27;1;SP;2;Success;0,01795518;1,279321156;0,99063041;DE;1;1;0,24288004;Oilseed;DE
134;65;27;0;SP;1;Success;0,01795518;1,768242032;1;DE;1;1;0,24288004;Oilseed;DE
135;;27;200;SP;1;Failure;0,01795518;1,144397661;0,931368033;DE;1;1;0,24288004;Oilseed;DE
136;66;27;0;SP;1;Success;0,01795518;0,867137728;0,302820806;DE;1;1;0,24288004;Oilseed;DE
137;67;27;0;SP;1;Success;0,01795518;1,000837599;0,999089003;DE;1;1;0,24288004;Oilseed;DE
138;68;27;4;SP;2;Success;0,01795518;0,995568493;1;DE;1;1;0,24288004;Oilseed;DE
139;;29;1;Other;1;Failure;0,001019032;0,951454946;0,431250401;DE;1;1;0,24288004;Rendering;DE
140;;30;1;Other;1;Failure;0;0,883405817;0,431278259;XS;0;0;0,005698601;Rendering;Other
141;;31;2;EP;1;Failure;0,000278649;1;0,571902471;AT;0;0;0,017650065;Oilseed;Other
142;;13;4;SP;1;Success;0,005186831;0,830961314;0,30357512;BA;0;0;0,005186831;Oilseed;Other
143;;13;760;SP;1;Success;0,005186831;1,097212035;1;BA;0;0;0,005186831;Oilseed;Other
144;69;32;4;SP;1;Success;0,003217068;1,080170844;0,645878156;IT;0;0;0,021159902;Oilseed;Other
145;70;33;0;SP;1;Success;0,001215816;0,952135701;1;DE;1;1;0,24288004;Oilseed;DE
146;;34;1;SP;1;Failure;0,032574028;1;1;RU;0;0;0,037934649;Oilseed;RU
147;;34;60;SP;1;Failure;0,032574028;1,338146089;0,909938115;RU;0;0;0,037934649;Oilseed;RU
148;71;35;1;SP;1;Success;0,000131596;0,808939151;1;GB;0;0;0,015899797;Oilseed;GB
