QUOTE_CONVERSION;SERVICE_NOTIFICATION;ORDER;CUSTOMER;QUANTITY;DESCRIPTION;QUOTE_COUNT;CUSTOMER_SALES_SHARE;COUNTRY_SALES_SHARE;PRICE_DEV_QU;PRIMARY_PRODUCT_SALES;SEGMENT;CONCERN;KEY_ACCOUNT;COUNTRY;COUNTRY_CLUSTERED
Success;1;1;1;1;Other;2;0,000935757;0,000935757;1;1;Oilseed;0;0;SG;Other
Failure;2;;1;1;Other;1;0,000935757;0,000935757;1;1;Oilseed;0;0;SG;Other
Failure;3;;1;3;Other;1;0,000935757;0,000935757;1;1;Oilseed;0;0;SG;Other
Success;4;2;1;300;SP;2;0,000935757;0,000935757;0,807620664;0,774911362;Oilseed;0;0;SG;Other
Failure;5;;1;2;SP;1;0,000935757;0,000935757;1,012025831;1;Oilseed;0;0;SG;Other
Failure;6;;2;1;Other;2;0,002652777;0,005747758;1,055401017;0,337007449;Oilseed;1;0;SE;Other
Success;7;;3;1;SP;1;0,012672497;0,24288004;0,888173321;0,807748959;Oilseed;1;1;DE;DE
Failure;8;;3;4;SP;1;0,012672497;0,24288004;0,902310637;0,414882478;Oilseed;1;1;DE;DE
Success;9;3;3;0;SP;1;0,012672497;0,24288004;1,584811154;1;Oilseed;1;1;DE;DE
Success;10;4;4;1;Other;1;0,000206443;0,24288004;0,922368507;1;Oilseed;1;1;DE;DE
Success;11;;3;1;SP;1;0,012672497;0,24288004;1,10561559;1;Oilseed;1;1;DE;DE
Success;12;;3;1;SP;1;0,012672497;0,24288004;0,916362463;0,67344227;Oilseed;1;1;DE;DE
Success;13;;3;1;SP;1;0,012672497;0,24288004;0,927473678;1;Oilseed;1;1;DE;DE
Success;14;;3;4;SP;1;0,012672497;0,24288004;1,20166519;1;Oilseed;1;1;DE;DE
Failure;15;;3;1;SP;1;0,012672497;0,24288004;0,939645495;0,506866796;Oilseed;1;1;DE;DE
Success;16;;3;2;SP;1;0,012672497;0,24288004;0,787068685;1;Oilseed;1;1;DE;DE
Success;17;;3;1;SP;1;0,012672497;0,24288004;1,71133736;1;Oilseed;1;1;DE;DE
Failure;18;;3;2;SP;1;0,012672497;0,24288004;0,879512365;1;Oilseed;1;1;DE;DE
Success;19;5;3;0;SP;1;0,012672497;0,24288004;1,06548629;0,657740879;Oilseed;1;1;DE;DE
Success;20;6;3;0;SP;1;0,012672497;0,24288004;1,082477787;0,899730081;Oilseed;1;1;DE;DE
Failure;21;;3;2;SP;1;0,012672497;0,24288004;1,278300244;0,722938144;Oilseed;1;1;DE;DE
Success;22;7;3;0;SP;1;0,012672497;0,24288004;1,340349057;1;Oilseed;1;1;DE;DE
Failure;23;;3;1;SP;1;0,012672497;0,24288004;1,04520752;1;Oilseed;1;1;DE;DE
Success;24;;3;2;SP;2;0,012672497;0,24288004;1,026612118;0,58296819;Oilseed;1;1;DE;DE
Success;25;8;3;12;SP;2;0,012672497;0,24288004;0,859916207;1;Oilseed;1;1;DE;DE
Success;26;9;3;3;SP;1;0,012672497;0,24288004;1,305199171;0,898520725;Oilseed;1;1;DE;DE
Failure;27;;3;40;SP;1;0,012672497;0,24288004;1,109024351;1;Oilseed;1;1;DE;DE
Failure;28;;3;30;SP;1;0,012672497;0,24288004;1,087170334;1;Oilseed;1;1;DE;DE
Failure;29;;3;1;SP;1;0,012672497;0,24288004;1,35284066;1;Oilseed;1;1;DE;DE
Success;30;10;3;18;SP;2;0,012672497;0,24288004;1,004689756;1;Oilseed;1;1;DE;DE
Success;31;11;5;0;Other;1;0,009883245;0,014651249;1;1;Rendering;0;0;HR;Other
Failure;32;;6;1;Other;1;0,015086146;0,018512827;1;1;Oilseed;1;0;AE;Other
Failure;33;;7;1;Other;1;0;0,018512827;1;1;Oilseed;0;0;AE;Other
Failure;34;;7;4;Other;1;0;0,018512827;1;1;Oilseed;0;0;AE;Other
Success;35;;3;475;SP;1;0,012672497;0,24288004;0,873217854;0,819229784;Oilseed;1;1;DE;DE
Success;36;12;8;2;SP;2;0,002214796;0,008949443;0,992271749;0,350852635;Oilseed;1;1;RO;Other
